time,pos_error,Position [cnt],Actual Velocity 0x606C,Velocity [cnt/sec],Active Current [A],current_command,index,
0.1,14,23983955,-1003494,-1003925.70495605,-0.318852536301847,-0.320084083522659,100,
0.101,18,23982942,-1012225,-1012942.04711914,-0.31794170046885,-0.320817575710862,101,
0.102,26,23981915,-1025806,-1026732.10144043,-0.313424806775345,-0.314828979743709,102,
0.103,34,23980878,-1037613,-1037268.29528809,-0.307578311056432,-0.304734369641267,103,
0.104,34,23979840,-1037943,-1038083.03833008,-0.3065653010608,-0.308347574764014,104,
0.105,27,23978798,-1040410,-1041587.60070801,-0.320716105711995,-0.322349026280165,105,
0.106,24,23977742,-1053689,-1055023.26965332,-0.323770345636262,-0.325372881537874,106,
0.107,27,23976670,-1072035,-1073821.79260254,-0.309099023128283,-0.312363103855205,107,
0.108,31,23975588,-1080937,-1082101.44042969,-0.305181091135239,-0.305224643664246,108,
0.109,28,23974502,-1085259,-1085130.23376465,-0.310561852938463,-0.310825773518445,109,
0.11,20,23973411,-1089879,-1090617.82836914,-0.315525221668622,-0.320979603793717,110,
0.111,12,23972310,-1101003,-1101995.92590332,-0.323465935639661,-0.325668172613689,111,
0.112,5,23971198,-1111804,-1112411.34643555,-0.32729440362607,-0.327067064353798,112,
0.113,-1,23970076,-1119401,-1120661.39221191,-0.334969014109447,-0.332293332626477,113,
0.114,-8,23968944,-1130517,-1133102.9510498,-0.342119057794378,-0.336702876553659,114,
0.115,-8,23967795,-1147318,-1148980.94177246,-0.331681097439002,-0.332329068937668,115,
0.116,-3,23966631,-1163052,-1165320.5871582,-0.324953622430826,-0.321915648689583,116,
0.117,0,23965459,-1170631,-1171542.05322266,-0.315789177456793,-0.318652694624689,117,
0.118,-2,23964283,-1175821,-1176558.68530273,-0.322249211066151,-0.32531869613598,118,
0.119,-5,23963097,-1183706,-1185181.57958984,-0.328735157902145,-0.33142126100887,119,
0.12,-3,23961896,-1200153,-1201797.33276367,-0.327233070961938,-0.328909720100057,120,
0.121,5,23960679,-1216677,-1217854.53796387,-0.31524320407982,-0.315538424739259,121,
0.122,2,23959464,-1217033,-1216703.33862305,-0.309816671631722,-0.316875948607048,122,
0.123,-13,23958250,-1212633,-1213920.82214355,-0.345226497291264,-0.343964741444836,123,
0.124,-14,23957012,-1234569,-1237147.5982666,-0.351335434846249,-0.346808612443624,124,
0.125,-8,23955757,-1255300,-1255496.67358398,-0.324839090194075,-0.325032700021893,125,
0.126,-15,23954505,-1252736,-1251586.45629883,-0.331791123027642,-0.331259725840653,126,
0.127,-28,23953250,-1253541,-1254395.67565918,-0.357501972997397,-0.357003319425587,127,
0.128,-25,23951968,-1278486,-1281380.76782227,-0.354273522957101,-0.353081901821895,128,
0.129,-7,23950661,-1306593,-1307803.49731445,-0.31712803923574,-0.320870282368844,129,
0.13,6,23949349,-1313157,-1312354.58374023,-0.303582287301595,-0.305265203497243,130,
0.131,7,23948040,-1309312,-1309357.91015625,-0.317238170448945,-0.318825320372241,131,
0.132,10,23946718,-1319473,-1322048.33984375,-0.323731898294568,-0.327071887875604,132,
0.133,12,23945387,-1330806,-1331345.82519531,-0.320164111734812,-0.319994584307835,133,
0.134,3,23944057,-1330092,-1329134.82666016,-0.324903521178783,-0.3299577974513,134,
0.135,-5,23942716,-1338361,-1340378.41796875,-0.342792590437796,-0.344774177695342,135,
0.136,-3,23941356,-1357941,-1359528.96118164,-0.338255909742429,-0.336607427155002,136,
0.137,-2,23939986,-1370520,-1370949.85961914,-0.330510988506887,-0.327277644528408,137,
0.138,-10,23938615,-1370470,-1370841.82739258,-0.336872157523317,-0.339009329765247,138,
0.139,-16,23937232,-1380503,-1382358.09326172,-0.350899803931611,-0.348916280223705,139,
0.14,-17,23935834,-1397426,-1397839.81323242,-0.344743264905958,-0.34407790056224,140,
0.141,-23,23934432,-1402956,-1402418.06030273,-0.34404991005249,-0.345238292034367,141,
0.142,-44,23933034,-1398371,-1397255.09643555,-0.368176285921265,-0.369885678674564,142,
0.143,-76,23931637,-1397007,-1397400.36010742,-0.405976641946211,-0.405032569583398,143,
0.144,-109,23930231,-1404275,-1404348.60229492,-0.435254081397318,-0.43350053757581,144,
0.145,-139,23928813,-1417127,-1418120.57495117,-0.447815025094712,-0.453514878709086,145,
0.146,-161,23927376,-1433805,-1435951.38549805,-0.462205914382366,-0.464656545125308,146,
0.147,-175,23925921,-1452304,-1455530.24291992,-0.464990565208325,-0.469886439841389,147,
0.148,-177,23924444,-1475688,-1478070.67871094,-0.462234292182188,-0.465617552626725,148,
0.149,-165,23922943,-1499976,-1501836.70043945,-0.451793726420874,-0.452012298854243,149,
0.15,-142,23921422,-1518868,-1520270.69091797,-0.433765127111371,-0.436152805613517,150,
0.151,-120,23919891,-1529448,-1531168.06030273,-0.42295976931041,-0.427075676946629,151,
0.152,-82,23918334,-1553741,-1557390.74707031,-0.410357103909803,-0.407033274887226,152,
0.153,-23,23916746,-1587320,-1589544.2199707,-0.361569680623745,-0.354329785642108,153,
0.154,31,23915153,-1593778,-1592919.76928711,-0.319510190052313,-0.31362320491678,154,
0.155,67,23913569,-1583984,-1583178.86352539,-0.31180899738672,-0.313200847489156,155,
0.156,96,23911981,-1587874,-1587893.21899414,-0.309839416121406,-0.312835140036611,156,
0.157,118,23910390,-1592457,-1592607.26928711,-0.299457049495459,-0.299684318351353,157,
0.158,122,23908807,-1583930,-1583177.64282227,-0.305666013513587,-0.304114564693293,158,
0.159,113,23907228,-1577743,-1577841.64428711,-0.316810320543937,-0.326368146606569,159,
0.16,93,23905649,-1579116,-1579526.21459961,-0.342426671736121,-0.345011551301297,160,
0.161,66,23904067,-1581683,-1581238.86108398,-0.35965287643279,-0.36165161007807,161,
0.162,29,23902485,-1582147,-1581326.4465332,-0.384274948385553,-0.386623757047744,162,
0.163,-18,23900903,-1582025,-1582640.68603516,-0.42438425740346,-0.422039110392859,163,
0.164,-61,23899308,-1592297,-1594213.25683594,-0.449148253563521,-0.451287327047623,164,
0.165,-101,23897699,-1607626,-1608648.98681641,-0.471032748038169,-0.469050315784102,165,
0.166,-130,23896069,-1627023,-1629726.71508789,-0.487121059295077,-0.481484193129688,166,
0.167,-145,23894415,-1651812,-1654177.55126953,-0.470670385363519,-0.47919495672221,167,
0.168,-152,23892743,-1670704,-1672867.43164063,-0.473285297513371,-0.477546016428334,168,
0.169,-146,23891049,-1691197,-1694114.68505859,-0.468496490981124,-0.471616147719374,169,
0.17,-126,23889330,-1717189,-1719641.8762207,-0.448868841380659,-0.45173309792051,170,
0.171,-95,23887590,-1738112,-1740514.98413086,-0.434799930975601,-0.427027547353134,171,
0.172,-55,23885831,-1757685,-1759167.78564453,-0.397310850543988,-0.400212357347129,172,
0.173,-1,23884049,-1778643,-1780807.80029297,-0.368561076211904,-0.364922239528028,173,
0.174,58,23882251,-1797698,-1798260.34545898,-0.325730174233399,-0.320634528339554,174,
0.175,97,23880463,-1791854,-1789224.09057617,-0.295552602238558,-0.299770191122775,175,
0.176,105,23878696,-1767166,-1765316.92504883,-0.326145243566032,-0.326700406280167,176,
0.177,104,23876928,-1766534,-1767102.50854492,-0.350444245182359,-0.350968319066169,177,
0.178,108,23875146,-1780190,-1781588.89770508,-0.345828205230418,-0.343993682575672,178,
0.179,99,23873366,-1781747,-1780478.82080078,-0.341302192616126,-0.340644151575589,179,
0.18,69,23871597,-1768237,-1769239.19677734,-0.366774260652392,-0.37423677700906,180,
0.181,49,23869808,-1784902,-1788950.80566406,-0.394759348341381,-0.393909563507009,181,
0.182,51,23867988,-1817079,-1819794.31152344,-0.370587518701427,-0.369242002574879,182,
0.183,51,23866159,-1830140,-1829663.0859375,-0.348881952240049,-0.349636287675764,183,
0.184,37,23864334,-1825345,-1825300.29296875,-0.359357514940598,-0.36537498162221,184,
0.185,31,23862491,-1839364,-1842281.79931641,-0.381897585882598,-0.378115839162149,185,
0.186,40,23860623,-1866857,-1869105.07202148,-0.357201365485139,-0.353626713328651,186,
0.187,40,23858755,-1869190,-1867823.02856445,-0.336356709645656,-0.34346147560035,187,
0.188,24,23856892,-1862602,-1862992.40112305,-0.370487597862848,-0.369533315125409,188,
0.189,14,23855013,-1876004,-1877945.70922852,-0.375583595838577,-0.383660248624892,189,
0.19,12,23853116,-1895676,-1897190.24658203,-0.375406674692044,-0.373277529917061,190,
0.191,10,23851209,-1907950,-1908274.07836914,-0.358504033246447,-0.364584522585233,191,
0.192,7,23849294,-1913736,-1914259.18579102,-0.363591264383274,-0.369004417719793,192,
0.193,-3,23847375,-1918993,-1919969.17724609,-0.379864594670039,-0.380486476901126,193,
0.194,-5,23845438,-1934347,-1936118.62182617,-0.377941593837932,-0.382192208002834,194,
0.195,4,23843480,-1957051,-1959394.07348633,-0.368616564316767,-0.365514018758063,195,
0.196,15,23841511,-1969673,-1969851.8371582,-0.346748476857897,-0.349047571558117,196,
