POS: {v: 268.039, s: 13.5453, e: 68.7073, r: -5.15154, p: -5.88618}
VEL: {v: 4.84234, s: 0.0612093, e: -0.0392997, r: -0.001007, p: 0}
POS: {v: 268.039, s: 13.5453, e: 68.7073, r: -5.15154, p: -5.88618}
VEL: {v: 4.84234, s: 0.0612093, e: -0.0392997, r: -0.001007, p: 0}
POS: {v: 268.311, s: 13.5489, e: 68.705, r: -5.15134, p: -5.88632}
VEL: {v: 5.3385, s: 0.073819, e: -0.0392722, r: -0.000750674, p: 2.32124e-05}
POS: {v: 268.535, s: 13.5518, e: 68.7033, r: -5.15118, p: -5.88643}
VEL: {v: 4.90016, s: 0.059407, e: -0.0415474, r: 1.83091e-05, p: 0}
POS: {v: 268.806, s: 13.5555, e: 68.7011, r: -5.15098, p: -5.88655}
VEL: {v: 5.54802, s: 0.0731937, e: -0.0449937, r: 0.0117911, p: -0.0296422}
POS: {v: 269.06, s: 13.5588, e: 68.6991, r: -5.15077, p: -5.88664}
VEL: {v: 5.37175, s: 0.0679912, e: -0.0346314, r: 3.66182e-05, p: 0}
POS: {v: 269.348, s: 13.5626, e: 68.6969, r: -5.15061, p: -5.88678}
VEL: {v: 4.13991, s: -0.00699568, e: -0.000377239, r: -0.000768983, p: 0.0281334}
POS: {v: 269.499, s: 13.5421, e: 68.7236, r: -5.14814, p: -5.84936}
VEL: {v: -0.107356, s: -2.7042, e: 2.28413, r: 0.545136, p: 3.04988}
POS: {v: 269.305, s: 13.2736, e: 68.9633, r: -5.09433, p: -5.56471}
VEL: {v: -17.5882, s: -6.55314, e: 5.75864, r: 1.08278, p: 6.57684}
POS: {v: 268.515, s: 12.9675, e: 69.2377, r: -5.04191, p: -5.25403}
VEL: {v: -22.7165, s: -7.49297, e: 7.00135, r: 1.4384, p: 7.46882}
POS: {v: 267.536, s: 12.6412, e: 69.546, r: -4.97847, p: -4.90689}
VEL: {v: -24.6788, s: -8.54115, e: 8.25124, r: 1.53061, p: 8.7196}
