POS: {v: 232.979, s: -0.279029, e: 83.8056, r: -1.34458, p: 9.7352}
VEL: {v: 28.0167, s: 10.0112, e: -9.54901, r: -2.91134, p: -11.4645}
POS: {v: 234.344, s: 0.250364, e: 83.2958, r: -1.49722, p: 9.11942}
VEL: {v: 27.9959, s: 10.1511, e: -9.72856, r: -2.74219, p: -11.5995}
POS: {v: 235.805, s: 0.731407, e: 82.8194, r: -1.63909, p: 8.54}
VEL: {v: 27.2313, s: 10.022, e: -9.82723, r: -2.77205, p: -11.707}
POS: {v: 238.367, s: 1.66013, e: 81.9219, r: -1.88551, p: 7.50303}
VEL: {v: 26.5298, s: 10.1382, e: -10.0098, r: -2.63599, p: -11.5772}
POS: {v: 238.367, s: 1.66013, e: 81.9219, r: -1.88551, p: 7.50303}
VEL: {v: 26.5298, s: 10.1382, e: -10.0098, r: -2.63599, p: -11.5772}
POS: {v: 238.367, s: 1.66013, e: 81.9219, r: -1.88551, p: 7.50303}
VEL: {v: 26.5298, s: 10.1382, e: -10.0098, r: -2.63599, p: -11.5772}
POS: {v: 241.122, s: 2.73072, e: 80.8625, r: -2.15819, p: 6.29147}
VEL: {v: 26.7979, s: 10.3404, e: -10.2489, r: -2.63395, p: -11.2682}
POS: {v: 242.373, s: 3.16273, e: 80.4308, r: -2.26588, p: 5.81219}
VEL: {v: 26.45, s: 10.2666, e: -10.2962, r: -2.72739, p: -11.5382}
POS: {v: 242.373, s: 3.16273, e: 80.4308, r: -2.26588, p: 5.81219}
VEL: {v: 26.45, s: 10.2666, e: -10.2962, r: -2.72739, p: -11.5382}
POS: {v: 244.972, s: 4.22871, e: 79.3434, r: -2.52649, p: 4.63927}
VEL: {v: 25.4636, s: 10.4035, e: -10.6408, r: -2.70833, p: -11.0301}
POS: {v: 244.972, s: 4.22871, e: 79.3434, r: -2.52649, p: 4.63927}
VEL: {v: 25.4636, s: 10.4035, e: -10.6408, r: -2.70833, p: -11.0301}
POS: {v: 247.243, s: 5.20153, e: 78.3565, r: -2.75621, p: 3.59232}
VEL: {v: 24.1792, s: 10.4582, e: -10.8888, r: -2.65302, p: -11.4971}
POS: {v: 247.243, s: 5.20153, e: 78.3565, r: -2.75621, p: 3.59232}
VEL: {v: 24.1792, s: 10.4582, e: -10.8888, r: -2.65302, p: -11.4971}
POS: {v: 248.61, s: 5.78166, e: 77.7441, r: -2.89455, p: 2.95355}
VEL: {v: 24.09, s: 10.5863, e: -10.9983, r: -2.59812, p: -11.1979}
POS: {v: 249.718, s: 6.25934, e: 77.2566, r: -3.00423, p: 2.45205}
VEL: {v: 23.3492, s: 10.5668, e: -11.1862, r: -2.59151, p: -11.2829}
POS: {v: 251.364, s: 7.00625, e: 76.4572, r: -3.18049, p: 1.64528}
VEL: {v: 23.2425, s: 10.6779, e: -11.3566, r: -2.42065, p: -11.1996}
POS: {v: 252.269, s: 7.4579, e: 75.9895, r: -3.2812, p: 1.17996}
VEL: {v: 23.2056, s: 10.693, e: -11.5643, r: -2.47051, p: -11.216}
POS: {v: 253.494, s: 7.99759, e: 75.414, r: -3.40421, p: 0.616169}
VEL: {v: 22.0903, s: 10.8028, e: -11.5026, r: -2.45191, p: -11.2389}
POS: {v: 253.494, s: 7.99759, e: 75.414, r: -3.40421, p: 0.616169}
VEL: {v: 22.0903, s: 10.8028, e: -11.5026, r: -2.45191, p: -11.2389}
POS: {v: 256.841, s: 9.5751, e: 73.689, r: -3.77344, p: -1.03638}
VEL: {v: 23.1062, s: 11.0177, e: -12.3165, r: -2.70165, p: -11.1589}
POS: {v: 259.271, s: 10.7692, e: 72.3622, r: -4.06117, p: -2.27826}
VEL: {v: 23.0699, s: 11.3191, e: -12.9952, r: -2.78465, p: -11.5948}
POS: {v: 259.271, s: 10.7692, e: 72.3622, r: -4.06117, p: -2.27826}
VEL: {v: 23.0699, s: 11.3191, e: -12.9952, r: -2.78465, p: -11.5948}
POS: {v: 260.34, s: 11.3026, e: 71.7654, r: -4.1907, p: -2.82561}
VEL: {v: 22.8849, s: 11.362, e: -13.082, r: -3.033, p: -11.7852}
POS: {v: 260.34, s: 11.3026, e: 71.7654, r: -4.1907, p: -2.82561}
VEL: {v: 22.8849, s: 11.362, e: -13.082, r: -3.033, p: -11.7852}
POS: {v: 262.427, s: 12.3518, e: 70.4352, r: -4.49652, p: -4.02752}
VEL: {v: 24.5428, s: 11.8087, e: -14.3948, r: -3.33342, p: -12.97}
POS: {v: 262.427, s: 12.3518, e: 70.4352, r: -4.49652, p: -4.02752}
VEL: {v: 24.5428, s: 11.8087, e: -14.3948, r: -3.33342, p: -12.97}
POS: {v: 264.998, s: 13.5467, e: 69.0316, r: -4.84464, p: -5.26937}
VEL: {v: 24.7731, s: 11.3993, e: -15.4899, r: -3.94283, p: -12.5576}
POS: {v: 264.998, s: 13.5467, e: 69.0316, r: -4.84464, p: -5.26937}
VEL: {v: 24.7731, s: 11.3993, e: -15.4899, r: -3.94283, p: -12.5576}
