POS: {v: 220.691, s: 1.29974, e: 69.6554, r: -11.3746, p: -4.2949}
VEL: {v: -24.6537, s: -9.13273, e: 8.63764, r: 1.3509, p: 9.21419}
POS: {v: 219.589, s: 0.91085, e: 70.0218, r: -11.3162, p: -3.89794}
VEL: {v: -26.6684, s: -9.47192, e: 9.1257, r: 1.41735, p: 9.68252}
POS: {v: 218.345, s: 0.462322, e: 70.5013, r: -11.2433, p: -3.41241}
VEL: {v: -27.9568, s: -9.97418, e: 10.153, r: 1.62605, p: 10.5839}
POS: {v: 216.715, s: -0.114547, e: 71.0632, r: -11.1507, p: -2.81188}
VEL: {v: -27.6362, s: -9.18296, e: 9.37571, r: 1.5361, p: 9.48294}
POS: {v: 215.175, s: -0.647164, e: 71.6285, r: -11.0559, p: -2.26555}
VEL: {v: -27.7633, s: -9.38357, e: 10.2704, r: 1.68942, p: 10.5243}
POS: {v: 213.991, s: -1.05574, e: 72.074, r: -10.9777, p: -1.80892}
VEL: {v: -26.5359, s: -8.6696, e: 9.67235, r: 1.63872, p: 9.65146}
POS: {v: 212.65, s: -1.52508, e: 72.5916, r: -10.8876, p: -1.28221}
VEL: {v: -28.3514, s: -9.70562, e: 10.3943, r: 1.73818, p: 10.9863}
POS: {v: 211.133, s: -2.02489, e: 73.1322, r: -10.7929, p: -0.657723}
VEL: {v: -25.4279, s: -8.68976, e: 9.56467, r: 1.83014, p: 9.72753}
POS: {v: 210.106, s: -2.35474, e: 73.4992, r: -10.7243, p: -0.350438}
VEL: {v: -25.1861, s: -8.19318, e: 9.16966, r: 1.69993, p: 9.39243}
POS: {v: 208.668, s: -2.82451, e: 74.0176, r: -10.6275, p: 0.189529}
VEL: {v: -27.5006, s: -8.92445, e: 9.6567, r: 1.78043, p: 10.2057}
POS: {v: 207.304, s: -3.26938, e: 74.4934, r: -10.5423, p: 0.703057}
VEL: {v: -30.6025, s: -10.1777, e: 10.8258, r: 1.99421, p: 11.619}
POS: {v: 205.237, s: -3.92495, e: 75.1718, r: -10.4169, p: 1.44523}
VEL: {v: -32.4933, s: -9.76182, e: 10.4458, r: 2.06302, p: 11.3016}
POS: {v: 203.983, s: -4.36857, e: 75.6381, r: -10.3273, p: 1.96602}
VEL: {v: -34.6934, s: -10.0969, e: 10.2405, r: 1.93784, p: 11.5183}
POS: {v: 202.165, s: -4.84003, e: 76.132, r: -10.2327, p: 2.51427}
VEL: {v: -32.342, s: -9.0795, e: 9.60557, r: 1.80654, p: 10.3186}
POS: {v: 200.963, s: -5.20894, e: 76.5295, r: -10.1562, p: 2.96348}
