MTN: Move Mode -GRAVITY_ZONE
VEL: {v: 4.19293, s: -0.171156, e: 0.235771, r: -0.0179246, p: 0.0256729}
POS: {v: 157.709, s: -17.9455, e: 89.3851, r: -7.04701, p: 18.4741}
VEL: {v: 4.58251, s: -0.188299, e: 0.244196, r: 0.00106193, p: -0.0157612}
POS: {v: 157.96, s: -17.9557, e: 89.3981, r: -7.04819, p: 18.4737}
VEL: {v: 5.00109, s: -0.198286, e: 0.259368, r: 0.00135487, p: -0.0335651}
POS: {v: 158.172, s: -17.9641, e: 89.4091, r: -7.04919, p: 18.4734}
VEL: {v: 4.57197, s: -0.178356, e: 0.239889, r: -0.0411223, p: 0.0028087}
POS: {v: 158.414, s: -17.9721, e: 89.4196, r: -7.05091, p: 18.464}
VEL: {v: 6.36889, s: 1.01101, e: -0.778614, r: -0.16134, p: -1.58346}
POS: {v: 158.922, s: -17.8666, e: 89.3464, r: -7.07631, p: 18.3109}
VEL: {v: 16.0659, s: 4.22888, e: -2.66765, r: -0.836232, p: -5.25991}
POS: {v: 159.779, s: -17.6447, e: 89.1964, r: -7.12279, p: 18.0248}
VEL: {v: 24.9309, s: 6.00717, e: -4.04945, r: -1.15503, p: -7.28535}
POS: {v: 161.111, s: -17.3163, e: 88.9605, r: -7.18918, p: 17.6135}
VEL: {v: 27.0091, s: 6.77829, e: -5.05194, r: -1.41938, p: -8.47663}
POS: {v: 162.25, s: -16.9933, e: 88.7153, r: -7.26348, p: 17.1976}
VEL: {v: 28.8483, s: 7.2571, e: -5.59807, r: -1.51653, p: -8.86653}
POS: {v: 163.739, s: -16.6652, e: 88.4553, r: -7.33416, p: 16.7925}
VEL: {v: 27.1001, s: 6.79627, e: -5.67407, r: -1.71692, p: -8.71491}
POS: {v: 165.466, s: -16.2257, e: 88.0854, r: -7.44225, p: 16.2129}
VEL: {v: 29.6206, s: 7.68742, e: -6.60993, r: -1.74693, p: -10.0845}
POS: {v: 166.842, s: -15.8681, e: 87.7822, r: -7.53288, p: 15.7522}
VEL: {v: 29.9344, s: 8.34851, e: -7.0713, r: -1.86484, p: -10.6204}
POS: {v: 169.023, s: -15.2843, e: 87.2796, r: -7.67095, p: 14.9975}
VEL: {v: 32.5303, s: 8.40583, e: -7.47115, r: -2.26055, p: -11.1299}
POS: {v: 170.111, s: -15.0014, e: 87.0388, r: -7.73917, p: 14.6601}
VEL: {v: 33.202, s: 8.636, e: -7.57838, r: -2.14473, p: -10.782}
POS: {v: 171.829, s: -14.5556, e: 86.6272, r: -7.85483, p: 14.0814}
VEL: {v: 29.6879, s: 8.25252, e: -7.64688, r: -2.05945, p: -10.8612}
POS: {v: 173.043, s: -14.2252, e: 86.3236, r: -7.93742, p: 13.6457}
VEL: {v: 30.1694, s: 8.24781, e: -7.57801, r: -2.25418, p: -10.2191}
POS: {v: 175.321, s: -13.5794, e: 85.7407, r: -8.09195, p: 12.8403}
VEL: {v: 33.2927, s: 8.86521, e: -8.24658, r: -2.21533, p: -11.0609}
POS: {v: 176.581, s: -13.2346, e: 85.4133, r: -8.18478, p: 12.3595}
VEL: {v: 34.2342, s: 9.42618, e: -8.56035, r: -2.22789, p: -11.5305}
POS: {v: 178.329, s: -12.7503, e: 84.9732, r: -8.28628, p: 11.8262}
VEL: {v: 31.1177, s: 8.22613, e: -7.84075, r: -2.04623, p: -10.1088}
POS: {v: 179.397, s: -12.4542, e: 84.6785, r: -8.36163, p: 11.4412}
VEL: {v: 31.0566, s: 8.44394, e: -8.21184, r: -1.97305, p: -10.8854}
POS: {v: 180.915, s: -11.9508, e: 84.2055, r: -8.47815, p: 10.8233}
VEL: {v: 30.8241, s: 8.80608, e: -8.58597, r: -2.03184, p: -11.0259}
POS: {v: 182.745, s: -11.5123, e: 83.7832, r: -8.58115, p: 10.2822}
VEL: {v: 29.3001, s: 8.86469, e: -8.72203, r: -2.09407, p: -11.0402}
POS: {v: 184.489, s: -10.9919, e: 83.2859, r: -8.6954, p: 9.64533}
VEL: {v: 30.7207, s: 8.96962, e: -8.88371, r: -1.92035, p: -11.4295}
POS: {v: 185.79, s: -10.6058, e: 82.9123, r: -8.78145, p: 9.17635}
VEL: {v: 29.2391, s: 8.69424, e: -8.43253, r: -2.03888, p: -10.5254}
POS: {v: 187.257, s: -10.1656, e: 82.4752, r: -8.87882, p: 8.64179}
VEL: {v: 30.4639, s: 8.96217, e: -8.96677, r: -1.92982, p: -10.8456}
POS: {v: 190.148, s: -9.28672, e: 81.6045, r: -9.07211, p: 7.56778}
VEL: {v: 29.8535, s: 9.45587, e: -9.16099, r: -1.90667, p: -10.7411}
POS: {v: 190.148, s: -9.28672, e: 81.6045, r: -9.07211, p: 7.56778}
VEL: {v: 29.8535, s: 9.45587, e: -9.16099, r: -1.90667, p: -10.7411}
POS: {v: 191.736, s: -8.80422, e: 81.1236, r: -9.16812, p: 7.02396}
VEL: {v: 29.7902, s: 9.2368, e: -9.27849, r: -1.93368, p: -11.0739}
POS: {v: 193.521, s: -8.24916, e: 80.5651, r: -9.28246, p: 6.37803}
VEL: {v: 28.7093, s: 8.90235, e: -9.09809, r: -1.87883, p: -10.394}
POS: {v: 194.748, s: -7.85866, e: 80.1645, r: -9.36165, p: 5.91909}
VEL: {v: 27.5903, s: 8.56885, e: -8.7225, r: -1.91801, p: -9.76237}
POS: {v: 196.175, s: -7.42465, e: 79.7019, r: -9.45485, p: 5.38734}
VEL: {v: 26.8062, s: 8.69051, e: -9.22906, r: -1.73768, p: -10.3337}
POS: {v: 197.346, s: -7.04977, e: 79.3263, r: -9.52704, p: 4.97744}
VEL: {v: 29.1229, s: 9.37629, e: -9.50962, r: -1.74072, p: -10.586}
POS: {v: 199.187, s: -6.46161, e: 78.7198, r: -9.64938, p: 4.26762}
VEL: {v: 27.6917, s: 8.7811, e: -9.24913, r: -1.61664, p: -10.4555}
POS: {v: 200.419, s: -6.0661, e: 78.3049, r: -9.71807, p: 3.8436}
VEL: {v: 26.4906, s: 8.59093, e: -9.09699, r: -1.91438, p: -9.82268}
POS: {v: 201.807, s: -5.61294, e: 77.8265, r: -9.80636, p: 3.35227}
VEL: {v: 27.5241, s: 8.9229, e: -9.39948, r: -1.76178, p: -10.2538}
POS: {v: 202.95, s: -5.23333, e: 77.4295, r: -9.87877, p: 2.92349}
VEL: {v: 30.5103, s: 9.97664, e: -10.3648, r: -1.67041, p: -11.0561}
POS: {v: 204.486, s: -4.71644, e: 76.8931, r: -9.97211, p: 2.34069}
VEL: {v: 30.208, s: 10.2433, e: -10.7, r: -2.21297, p: -11.2647}
